id,address,address_type,street,street_type,street_dir,x,y,report_date,time_start,time_end,crime_type_id,arrested,l1_code
3214,800 ACKERMAN AVE,StreetAddress,ACKERMAN,AVE, ,942892.5434,1106705.956,2022-05-04 00:00:00.000000,645,655,3,FALSE,All Other
3215,700 WOLF ST,StreetAddress,WOLF,ST, ,933104.5837,1120957.664,2022-02-04 00:00:00.000000,1930,2000,1,FALSE,All Other
3216,800 ACKERMAN AVE,StreetAddress,ACKERMAN,AVE, ,942892.5434,1106705.956,2022-05-09 00:00:00.000000,2200,1000,2,TRUE,
3217,800 ACKERMAN AVE,StreetAddress,ACKERMAN,AVE, ,942892.5434,1106705.956,2022-01-24 00:00:00.000000,145,145,3,TRUE,
3218,800 ACKERMAN AVE,StreetAddress,ACKERMAN,AVE, ,942892.5434,1106705.956,2022-06-07 00:00:00.000000,1200,1026,1,FALSE,Of Bicycle
3219,800 ACKERMAN AVE,StreetAddress,ACKERMAN,AVE, ,942892.5434,1106705.956,2022-08-10 00:00:00.000000,900,1730,3,FALSE,From Building
3220,800 ACKERMAN AVE,StreetAddress,ACKERMAN,AVE, ,942892.5434,1106705.956,2022-04-30 00:00:00.000000,200,930,3,FALSE,From Building
3221,800 ACKERMAN AVE,StreetAddress,ACKERMAN,AVE, ,942892.5434,1106705.956,2022-05-04 00:00:00.000000,645,655,3,FALSE,All Other
3222,800 ACKERMAN AVE,StreetAddress,ACKERMAN,AVE, ,942892.5434,1106705.956,2022-01-08 00:00:00.000000,2100,1045,1,FALSE,From Motor Vehicle
3223,800 ALMOND ST,StreetAddress,ALMOND,ST, ,938030.2874,1109545.16,2022-06-28 00:00:00.000000,1239,1239,5,FALSE,
3224,800 BELLEVUE AVE,StreetAddress,BELLEVUE,AVE, ,932092.722,1105488.895,2022-03-08 00:00:00.000000,1930,2130,2,FALSE,Motor Vehicle
3225,800 BELLEVUE AVE,StreetAddress,BELLEVUE,AVE, ,932092.722,1105488.895,2022-03-28 00:00:00.000000,1359,1359,5,FALSE,
3226,800 BEAR ST,StreetAddress,BEAR,ST, ,933944.8799,1120502.79,2022-02-10 00:00:00.000000,730,1452,5,TRUE,
3227,800 BURNET AVE,StreetAddress,BURNET,AVE, ,941375.6464,1112352.856,2022-05-16 00:00:00.000000,1100,1400,3,FALSE,From Building
3228,800 BURNET AVE,StreetAddress,BURNET,AVE, ,941375.6464,1112352.856,2022-06-11 00:00:00.000000,2337,2337,5,FALSE,
3229,800 BUTTERNUT ST,StreetAddress,BUTTERNUT,ST, ,937398.3159,1115865.679,2022-07-24 00:00:00.000000,200,200,4,FALSE,Pocket Picking
3230,800 BUTTERNUT ST,StreetAddress,BUTTERNUT,ST, ,937398.3159,1115865.679,2022-08-07 00:00:00.000000,1334,1334,5,FALSE,
3231,800 BUTTERNUT ST,StreetAddress,BUTTERNUT,ST, ,937398.3159,1115865.679,2022-02-08 00:00:00.000000,1155,1155,2,FALSE,Motor Vehicle
