id,address,address_type,arrested,larceny_code,report_date,street,street_dir,street_type,time_end,time_start,x,y,crime_type_id
1221,"700 LANCASTER, 13210",PointAddress,false,All Other,2022-03-30 00:00:00.000000,LANCASTER, ,,2359,1,-76.1234692133126,43.0381893829743,1
1222,"700 LANCASTER, 13210",PointAddress,false,From Building,2022-01-14 00:00:00.000000,LANCASTER, ,,830,2000,-76.1234692133126,43.0381893829743,3
1223,"700 LANCASTER, 13210",PointAddress,false,From Motor Vehicle,2022-06-16 00:00:00.000000,LANCASTER, ,,818,2330,-76.1234692133126,43.0381893829743,1
1224,"700 LANCASTER, 13210",PointAddress,false,From Building,2022-04-28 00:00:00.000000,LANCASTER, ,,430,430,-76.1234692133126,43.0381893829743,3
1225,1100 E FAYETTE ST,StreetAddress,true,,2022-07-24 00:00:00.000000,FAYETTE, ,ST,1515,1515,-76.1342159520682,43.0483774876495,5
1226,"700 LEMOYNE, 13208",PointAddress,false,Motor Vehicle,2022-07-20 00:00:00.000000,LEMOYNE, ,,1730,1330,-76.1598021990627,43.0740453776262,2
1227,"700 LEMOYNE, 13208",PointAddress,false,From Motor Vehicle,2022-04-03 00:00:00.000000,LEMOYNE, ,,1700,1,-76.1598021990627,43.0740453776262,1
1228,1100 COURT ST,StreetAddress,false,From Motor Vehicle,2022-04-29 00:00:00.000000,COURT, ,ST,233,230,-76.1518306195173,43.0756261263626,1
1229,1100 E FAYETTE ST,StreetAddress,false,,2022-07-18 00:00:00.000000,FAYETTE, ,ST,302,302,-76.1342159520682,43.0483774876495,3
1230,"700 LEMOYNE, 13208",PointAddress,false,Of MV Parts/Accessories,2022-08-05 00:00:00.000000,LEMOYNE, ,,1220,1800,-76.1598021990627,43.0740453776262,2
1231,1100 E FAYETTE ST,StreetAddress,false,From Building,2022-07-05 00:00:00.000000,FAYETTE, ,ST,425,425,-76.1342159520682,43.0483774876495,3
1232,"700 MARYLAND, 13210",PointAddress,false,From Building,2022-05-17 00:00:00.000000,MARYLAND, ,,700,100,-76.1207107135214,43.0383333821661,3
1233,1100 ERIE BLVD E,StreetAddress,false,From Building,2022-06-12 00:00:00.000000,ERIE,E,BLVD,454,454,-76.1341647631026,43.0506020350077,3
1234,"700 MARYLAND, 13210",PointAddress,false,From Motor Vehicle,2022-07-06 00:00:00.000000,MARYLAND, ,,639,2230,-76.1207107135214,43.0383333821661,1
1235,1100 GLENWOOD AVE,StreetAddress,false,From Motor Vehicle,2022-07-01 00:00:00.000000,GLENWOOD, ,AVE,2130,2130,-76.1781111800253,43.0221167323257,1
1236,"700 MIDLAND, 13205",PointAddress,true,Motor Vehicle,2022-02-12 00:00:00.000000,MIDLAND, ,,2353,2338,-76.1541817035915,43.0315113848537,2
1237,"700 MIDLAND, 13205",PointAddress,false,,2022-02-21 00:00:00.000000,MIDLAND, ,,2101,2101,-76.1541817035915,43.0315113848537,1
1238,"700 MIDLAND, 13205",PointAddress,false,Motor Vehicle,2022-03-14 00:00:00.000000,MIDLAND, ,,2318,2318,-76.1541817035915,43.0315113848537,2
1239,1100 GLENWOOD AVE,StreetAddress,false,Motor Vehicle,2022-04-18 00:00:00.000000,GLENWOOD, ,AVE,226,226,-76.1781111800253,43.0221167323257,2
1240,1100 JAMES ST,StreetAddress,false,From Building,2022-03-11 00:00:00.000000,JAMES, ,ST,900,700,-76.1312651694938,43.0607280876204,1
1241,1100 LODI ST,StreetAddress,false,From Building,2022-05-28 00:00:00.000000,LODI, ,ST,845,500,-76.1439558632174,43.0583294974633,3
1242,"700 W ONONDAGA, 13204",PointAddress,true,,2022-01-14 00:00:00.000000,ONONDAGA, ,,1615,1610,-76.1629432002353,43.0373793839959,5
1243,1100 MADISON ST,StreetAddress,false,Motor Vehicle,2022-02-03 00:00:00.000000,MADISON, ,ST,1400,2000,-76.1305519231863,43.0452374281232,2
1244,"700 S CROUSE, 13210",PointAddress,true,All Other,2022-06-06 00:00:00.000000,CROUSE, ,,29,29,-76.136793708164,43.0425453825224,1
